,sentence,gender
216,"Man thomas and my lady being here in london, one dwelles, a fenser nere cicell howse, and his wiff, by indirect meanes, being of kyn to the girle, dyd invite all my lady's children and gentilwomen onto a breakfast.",m
217,"They cam thether, and at theire commyng the yowth's and servingmen were caried up to the ffens skolle.",m
218,"My ladys dowghters and gentilwomen must ned's play at the cardes, will they nill they.",m
219,"The girle abraham, by the wiff of the howse, was conveyghed in to a chamber, and shut the dowre after her and there left her.",m
220,The girl found in the chamber iiij. or v. tal men.,m
221,She knew theym not.,m
222,And ymediatly the girle fell into a great ffeare seyng them to compasse her about.,m
223,"Then began an old priest to read upon a booke, his words she understood not, saving these words ""i henry take the suzane to my wedded wiff"" &c.",m
224,This done they charged the wenche never to discover this to any body lyving: and so sent her downe to her fellow's.,m
225,And dyner being done the wenche told to her fellow's very lamentably what had ben donne; and they over to s=r=.,m
226,Tho. and my la.,m
227,And upon complaynt i sent for the ffensers wiff who wold confesse nothyng.,m
228,"I went with her my self to bridwell, where there was a full court, and thether cam man thomas with the wenche, and there we bolted owt the wholl matter and dyd no more.",m
229,The ffensers wyff is retorned to the cownter.,m
230,The wenche is with my la.,m
231,Gerrerd.,m
232,"She was never in bridwell, as the ffenser and one poollwhele dyd avouche to some of my lords.",m
233,The wenche was there to accuse the fensers wiff in open court.,m
234,"My lo. this being the fact, and the trew case thereof, i fynd the same to be ffellony by a=o=.",m
235,3. st.,m
236,7. ca.,m
237,"2. And therefore me thinke suche companyons as this fenser and his wiff are, owght not to be allowed to deface suche poore men as i am, in suche order, before the lords.",m
238,Thus most humbly i take my leave of yo=r= good lo. this 18 of july 1583.,m
239,Yo=r= good lo. most indebted    w.,m
240,Fletewoode.,m
241,"""to the right honorable and my singuler good lord treasourer of ingland.""",m
242,"right honorable and my very good lord, uppon thursdaye laste, beinge the crastinn of trinity terme, we kepte a sessions of inquyry in london in the forenone, and in the afternone we kepte the lyke att fynsbury for middlesex, in which two several sessions's all such as were to be arrayegned for felonye at the gaole deliverye were indyted.",m
243,"Uppon fryday last we sate at the justice hal att newgate from vij in the morninge untill vij att night, where were condempned certen horstealers, cutpurses, and such lyke, to the nusmber of x., whereof ix. were executed, and the tenthe stayed by a mean's from the courte.",m
244,These were executed uppon saterdaye in the morninge.,m
245,"There was a showmaker also condempned for wyllfull murder commytted in the blacke ffryers, who was executed uppon monday in the morninge.",m
246,"The same daye my lord maior beinge absent abowte the goods of the spannyards, and also all my lords the justic's of the bench's beinge also awaye, we fewe that were there did spend the same day abowte the searchinge out of sundrye that were receptors of ffelons, where we fownd a greate manye aswell in london, westminster, sowthwarke, as in all other plac's abowte the same.",m
247,"Amongest our travells this one matter tumbled owt by the waye, that one wotton a gentilman borne, and sometyme a marchauntt man of good credyte, who fallinge by tyme into decaye, kepte an alehowse att smarts keye neere byllingesgate, and after, for some mysdemeanor beinge put downe, he reared upp a newe trade of lyffe, and in the same howse he procured all the cuttpurs's abowt this citty to repaire to his said howse.",m
248,"There, was as schole howse sett upp to learne younge boy's to cutt purs's.",m
249,"There were hung up two devises, the one was a pockett, the other was a purse.",m
250,"The pockett had in yt certen cownters and was hunge abowte with hawk's bells, and over the topp did hannge a litle sacring bell; and he that could take owt a cownter without any noyse, was allowed to be (^a publique ffoyster^) : and he that could take a peece of sylver owt of the purse without the noyse of any of the bells, he was adjudged (^a judicial nypper^).",m
251,"Nota that a ffoister is a pick-pockett, and a nypper is termed a pickepurse, or a cutpurse.",m
252,"And as concerninge this matter, i will sett downe noe more in this place, but referr your lordship to the paper herein inclosed.",m
253,"Saterdaye and sonday beinge past, uppon monday my lord maior, my lord buckhurste, the mr. of the rooles, my lord anderson, mr. Sackford master of the requests, s=r=.",m
254,"Rowland hayward, my selffe, mr. Owen, and mr. Younge, with the assystaunse of mr. Attorney and mr. Solicitor, did arraigne one awfeild, webley, and crabbe, for sparcinge abrood certen lewed, sedicious, and traytorous bookes; awfeild did most trayterously maynteyne the booke, with longe tedious and frivolous word's and speach's.",m
255,Webley did affirme as much as awfeild had uttered.,m
256,"They are both executed thorough gods goodn's and yo=r= lordshipps good helpe, as mr. Younge told me.",m
257,"There came a letter to reprive awfeild, yt was not well digested of as many as knewe of yt, but after all was well taken.",m
258,"When he was executed, his bodye was brought into s=t=.",m
259,"Pulchers to be buryed, but the parishioners would not suffer a traytor's corp's to be layed in the earthe where theire parents, wyeffs, chyldren, kynred, maisters, and old neighbors did rest: and so his carcase was retourned to the buryal grounde neere tyborne, and there i leave yt.",m
260,"Crabbe surelye did renownse the pope, and my lords and the rest of the benche moved mr. Attorney and mr. Solicitor to be a meane to her maiesty for him, and for that cause he was stayed.",m
261,"Trewelye my lord it is nothinge needfull to wrytte for the staye of any to be repryved, for there is not any in our commyssion of london or middlesex but we are desirous to save or staye any poore wretche, yf by color of any lawe or reason we maye doe ytt.",m
262,"My singler good lord my lord william of wynchester was wonte to saye, ""when the courte is furthest from london, then is there the best justice done in all ingland."" i onse hard as great a parsonage in office and authoritye as ever he was, and yett lyvinge, saye the same word's.",m
263,"Yt is growen for a trade nowe in the courte to make mean's for repryves, twenty pownd for a reprive is nothinge, although it be but for bare tenn dai's.",m
264,"I see it will not be holpen onl's one honored gentilman, who many tym's is abused by wronge informacion (and suerly uppon my sowle, not uppon any evill meaninge) do staye his penn.",m
